Lintang,Bujur,Kedalaman(KM),Magnitudo(SR),Timestamp
-11.65,117.61,10,4.2,1514742185.0
-0.33,123.73,112,5.1,1514742752.0
-1.4,120.47,10,2.4,1514749673.0
-9.42,117.9,24,2.4,1514750606.0
1.42,122.04,17,1.9,1514750829.0
-6.11,130.34,157,4.3,1514751893.0
-3.24,128.84,10,3.5,1514752333.0
-0.24,123.07,63,2.3,1514755853.0
2.31,97.06,59,2.9,1514757542.0
0.19,121.95,155,2.4,1514758959.0
-6.46,101.7,10,4.9,1514762562.0
-4.41,102.14,43,4.8,1514766361.0
-0.23,122.94,12,2.7,1514766719.0
0.59,122.34,61,1.7,1514767682.0
-0.72,131.12,17,2.5,1514772189.0
-0.28,125.35,10,4.0,1514772273.0
-3.51,119.1,22,2.5,1514773077.0
-6.9,106.83,10,3.3,1514778023.0
-9.48,118.11,22,3.1,1514796923.0
-7.66,119.28,19,3.5,1514797554.0
-9.82,124.25,10,3.1,1514798162.0
-7.96,116.84,288,4.5,1514798736.0
-8.49,121.3,181,4.5,1514799158.0
0.27,121.83,170,2.6,1514803114.0
1.01,132.52,10,3.3,1514803614.0
-8.3,123.53,10,2.9,1514806343.0
-0.2,125.41,10,3.3,1514820489.0
-0.01,122.55,158,2.4,1514821692.0
-9.62,115.48,17,3.1,1514832050.0
-7.31,128.29,196,4.1,1514832464.0
-8.29,119.99,172,3.9,1514834489.0
4.56,124.45,10,3.5,1514834823.0
-9.98,124.96,18,3.0,1514839972.0
0.29,122.48,12,2.8,1514850365.0
1.4,99.7,185,4.3,1514851916.0
-9.32,122.43,14,2.8,1514861456.0
3.72,126.58,12,3.7,1514861581.0
-6.52,129.86,172,4.2,1514868873.0
-8.74,118.35,92,2.9,1514874225.0
-8.68,118.36,106,3.3,1514875478.0
2.34,98.93,129,3.4,1514878831.0
-8.29,115.5,11,2.4,1514881989.0
-2.93,127.78,28,3.7,1514889187.0
-0.02,123.52,120,4.5,1514890031.0
0.74,120.3,12,3.0,1514899851.0
-0.15,123.55,12,2.5,1514900848.0
-7.02,107.77,295,2.7,1514901513.0
-7.62,128.39,10,4.3,1514902456.0
-5.27,104.51,82,3.1,1514910267.0
-3.02,127.74,57,3.1,1514910904.0
-11.59,117.64,10,4.3,1514914834.0
2.88,124.36,338,3.6,1514915071.0
-7.47,106.66,36,2.8,1514916909.0
