Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-11.65,117.61,10,1514742185.0,3
-0.33,123.73,112,1514742752.0,5
-1.4,120.47,10,1514749673.0,1
-9.42,117.9,24,1514750606.0,1
1.42,122.04,17,1514750829.0,1
-6.11,130.34,157,1514751893.0,3
-3.24,128.84,10,1514752333.0,2
-0.24,123.07,63,1514755853.0,1
2.31,97.06,59,1514757542.0,1
0.19,121.95,155,1514758959.0,1
-6.46,101.7,10,1514762562.0,4
-4.41,102.14,43,1514766361.0,4
-0.23,122.94,12,1514766719.0,1
0.59,122.34,61,1514767682.0,1
-0.72,131.12,17,1514772189.0,1
-0.28,125.35,10,1514772273.0,3
-3.51,119.1,22,1514773077.0,1
-6.9,106.83,10,1514778023.0,1
-9.48,118.11,22,1514796923.0,1
-7.66,119.28,19,1514797554.0,2
-9.82,124.25,10,1514798162.0,1
-7.96,116.84,288,1514798736.0,4
-8.49,121.3,181,1514799158.0,4
0.27,121.83,170,1514803114.0,1
1.01,132.52,10,1514803614.0,1
-8.3,123.53,10,1514806343.0,1
-0.2,125.41,10,1514820489.0,1
-0.01,122.55,158,1514821692.0,1
-9.62,115.48,17,1514832050.0,1
-7.31,128.29,196,1514832464.0,3
-8.29,119.99,172,1514834489.0,2
4.56,124.45,10,1514834823.0,2
-9.98,124.96,18,1514839972.0,1
0.29,122.48,12,1514850365.0,1
1.4,99.7,185,1514851916.0,3
-9.32,122.43,14,1514861456.0,1
3.72,126.58,12,1514861581.0,2
-6.52,129.86,172,1514868873.0,3
-8.74,118.35,92,1514874225.0,1
-8.68,118.36,106,1514875478.0,1
2.34,98.93,129,1514878831.0,1
-8.29,115.5,11,1514881989.0,1
-2.93,127.78,28,1514889187.0,2
-0.02,123.52,120,1514890031.0,4
0.74,120.3,12,1514899851.0,1
-0.15,123.55,12,1514900848.0,1
-7.02,107.77,295,1514901513.0,1
-7.62,128.39,10,1514902456.0,3
-5.27,104.51,82,1514910267.0,1
-3.02,127.74,57,1514910904.0,1
-11.59,117.64,10,1514914834.0,3
2.88,124.36,338,1514915071.0,2
