Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-1.4,120.47,10,1514749673.0,1
-9.42,117.9,24,1514750606.0,1
1.42,122.04,17,1514750829.0,1
-0.24,123.07,63,1514755853.0,1
2.31,97.06,59,1514757542.0,1
0.19,121.95,155,1514758959.0,1
-0.23,122.94,12,1514766719.0,1
0.59,122.34,61,1514767682.0,1
-0.72,131.12,17,1514772189.0,1
-3.51,119.1,22,1514773077.0,1
-6.9,106.83,10,1514778023.0,1
-9.48,118.11,22,1514796923.0,1
-9.82,124.25,10,1514798162.0,1
0.27,121.83,170,1514803114.0,1
1.01,132.52,10,1514803614.0,1
-8.3,123.53,10,1514806343.0,1
-0.2,125.41,10,1514820489.0,1
-0.01,122.55,158,1514821692.0,1
-9.62,115.48,17,1514832050.0,1
-9.98,124.96,18,1514839972.0,1
0.29,122.48,12,1514850365.0,1
-9.32,122.43,14,1514861456.0,1
-8.74,118.35,92,1514874225.0,1
-8.68,118.36,106,1514875478.0,1
2.34,98.93,129,1514878831.0,1
-8.29,115.5,11,1514881989.0,1
0.74,120.3,12,1514899851.0,1
-0.15,123.55,12,1514900848.0,1
-7.02,107.77,295,1514901513.0,1
-5.27,104.51,82,1514910267.0,1
-3.02,127.74,57,1514910904.0,1
-7.47,106.66,36,1514916909.0,1
-0.72,131.45,14,1514921768.0,1
-3.22,128.16,14,1514922480.0,1
-8.88,124.0,12,1514925092.0,1
0.34,121.88,188,1514925944.0,1
-7.36,106.84,110,1514926147.0,1
-8.22,110.61,26,1514926359.0,1
-7.9,119.27,139,1514928144.0,1
-9.39,118.64,19,1514928352.0,1
-8.88,116.89,10,1514934849.0,1
1.15,121.77,13,1514949811.0,1
-9.37,115.32,33,1514950572.0,1
-8.73,110.27,27,1514951792.0,1
-7.84,118.97,22,1514952780.0,1
0.26,122.48,10,1514954669.0,1
-11.31,117.97,10,1514963564.0,1
-2.39,121.06,10,1514966352.0,1
-5.93,104.67,41,1514968855.0,1
0.38,121.74,90,1514979633.0,1
-8.23,120.03,158,1515009880.0,1
-2.69,119.16,10,1515023057.0,1
-9.39,117.19,27,1515023726.0,1
1.58,122.94,16,1515030196.0,1
-2.76,129.51,99,1515034539.0,1
-8.79,117.0,23,1515039015.0,1
-9.86,124.19,10,1515051528.0,1
-6.65,104.91,26,1515064111.0,1
-8.65,124.47,10,1515070508.0,1
-0.43,123.09,65,1515072504.0,1
-9.91,118.89,10,1515073428.0,1
-8.39,121.35,14,1515074388.0,1
0.11,122.54,10,1515084607.0,1
0.66,120.61,27,1515087705.0,1
0.17,119.99,10,1515095936.0,1
-0.88,121.79,10,1515100814.0,1
0.86,121.49,10,1515101171.0,1
-9.21,116.37,54,1515101724.0,1
-1.27,119.96,10,1515106478.0,1
-1.26,120.66,10,1515118209.0,1
-0.89,131.15,10,1515120093.0,1
0.0,97.98,40,1515133415.0,1
0.34,123.41,37,1515135829.0,1
0.74,127.43,10,1515196486.0,1
0.58,122.1,86,1515208604.0,1
0.34,122.77,141,1515216717.0,1
1.16,126.43,10,1515222339.0,1
-9.3,123.78,90,1515230867.0,1
-8.32,119.66,158,1515241729.0,1
-8.07,118.04,10,1515243054.0,1
-9.59,117.34,13,1515256499.0,1
-0.91,131.15,10,1515256963.0,1
-9.9,118.83,12,1515263566.0,1
-1.39,120.34,10,1515282419.0,1
2.46,96.07,54,1515296749.0,1
0.93,121.83,30,1515297942.0,1
0.13,122.35,98,1515298907.0,1
-8.61,118.31,123,1515308168.0,1
-0.99,131.19,17,1515310344.0,1
-1.42,120.41,10,1515311202.0,1
-7.92,117.3,30,1515316729.0,1
-3.51,131.37,68,1515317349.0,1
-3.44,131.35,52,1515318183.0,1
0.1,121.94,157,1515322965.0,1
